"Label (Grouping)","Total"
"Census Tract 4927, Allegheny County, Pennsylvania",""
"    Estimate","1,221"
"Census Tract 4928, Allegheny County, Pennsylvania",""
"    Estimate","1,566"
"Census Tract 4929, Allegheny County, Pennsylvania",""
"    Estimate","1,311"
"Census Tract 4940, Allegheny County, Pennsylvania",""
"    Estimate","732"
"Census Tract 4950, Allegheny County, Pennsylvania",""
"    Estimate","1,570"
"Census Tract 4961.01, Allegheny County, Pennsylvania",""
"    Estimate","1,281"
"Census Tract 4961.02, Allegheny County, Pennsylvania",""
"    Estimate","1,986"
"Census Tract 4962, Allegheny County, Pennsylvania",""
"    Estimate","2,674"
"Census Tract 4970, Allegheny County, Pennsylvania",""
"    Estimate","479"
"Census Tract 4980, Allegheny County, Pennsylvania",""
"    Estimate","1,103"
"Census Tract 4993, Allegheny County, Pennsylvania",""
"    Estimate","834"
"Census Tract 4994, Allegheny County, Pennsylvania",""
"    Estimate","1,591"
"Census Tract 5003, Allegheny County, Pennsylvania",""
"    Estimate","2,087"
"Census Tract 5010, Allegheny County, Pennsylvania",""
"    Estimate","875"
"Census Tract 5030.02, Allegheny County, Pennsylvania",""
"    Estimate","2,896"
"Census Tract 5041, Allegheny County, Pennsylvania",""
"    Estimate","2,846"
"Census Tract 5070, Allegheny County, Pennsylvania",""
"    Estimate","1,172"
"Census Tract 5080, Allegheny County, Pennsylvania",""
"    Estimate","1,194"
"Census Tract 5094, Allegheny County, Pennsylvania",""
"    Estimate","3,200"
"Census Tract 5100, Allegheny County, Pennsylvania",""
"    Estimate","1,067"
"Census Tract 5120, Allegheny County, Pennsylvania",""
"    Estimate","1,279"
"Census Tract 5128, Allegheny County, Pennsylvania",""
"    Estimate","1,017"
"Census Tract 5129, Allegheny County, Pennsylvania",""
"    Estimate","740"
"Census Tract 5138, Allegheny County, Pennsylvania",""
"    Estimate","1,315"
"Census Tract 5140, Allegheny County, Pennsylvania",""
"    Estimate","1,095"
"Census Tract 5151, Allegheny County, Pennsylvania",""
"    Estimate","1,594"
"Census Tract 5152, Allegheny County, Pennsylvania",""
"    Estimate","1,388"
"Census Tract 5153, Allegheny County, Pennsylvania",""
"    Estimate","1,129"
"Census Tract 5154.01, Allegheny County, Pennsylvania",""
"    Estimate","1,328"
"Census Tract 5161, Allegheny County, Pennsylvania",""
"    Estimate","711"
"Census Tract 5162, Allegheny County, Pennsylvania",""
"    Estimate","929"
"Census Tract 5170, Allegheny County, Pennsylvania",""
"    Estimate","1,069"
"Census Tract 5180.01, Allegheny County, Pennsylvania",""
"    Estimate","1,802"
"Census Tract 5190, Allegheny County, Pennsylvania",""
"    Estimate","1,356"
"Census Tract 5200.01, Allegheny County, Pennsylvania",""
"    Estimate","1,608"
"Census Tract 5200.02, Allegheny County, Pennsylvania",""
"    Estimate","1,691"
"Census Tract 5211, Allegheny County, Pennsylvania",""
"    Estimate","1,817"
"Census Tract 5212, Allegheny County, Pennsylvania",""
"    Estimate","2,251"
"Census Tract 5213.01, Allegheny County, Pennsylvania",""
"    Estimate","2,105"
"Census Tract 5213.02, Allegheny County, Pennsylvania",""
"    Estimate","2,166"
"Census Tract 5214.01, Allegheny County, Pennsylvania",""
"    Estimate","1,233"
"Census Tract 5214.02, Allegheny County, Pennsylvania",""
"    Estimate","1,520"
"Census Tract 5215, Allegheny County, Pennsylvania",""
"    Estimate","1,883"
"Census Tract 5220, Allegheny County, Pennsylvania",""
"    Estimate","1,888"
"Census Tract 5231, Allegheny County, Pennsylvania",""
"    Estimate","2,061"
"Census Tract 5232, Allegheny County, Pennsylvania",""
"    Estimate","1,928"
"Census Tract 5233, Allegheny County, Pennsylvania",""
"    Estimate","1,865"
"Census Tract 5234, Allegheny County, Pennsylvania",""
"    Estimate","2,497"
"Census Tract 5235.01, Allegheny County, Pennsylvania",""
"    Estimate","2,112"
"Census Tract 5235.02, Allegheny County, Pennsylvania",""
"    Estimate","663"
"Census Tract 5236, Allegheny County, Pennsylvania",""
"    Estimate","2,327"
"Census Tract 5237.01, Allegheny County, Pennsylvania",""
"    Estimate","1,942"
"Census Tract 5237.02, Allegheny County, Pennsylvania",""
"    Estimate","2,744"
"Census Tract 5238, Allegheny County, Pennsylvania",""
"    Estimate","2,358"
"Census Tract 5240, Allegheny County, Pennsylvania",""
"    Estimate","1,281"
"Census Tract 5251, Allegheny County, Pennsylvania",""
"    Estimate","1,078"
"Census Tract 5252, Allegheny County, Pennsylvania",""
"    Estimate","1,152"
"Census Tract 5253, Allegheny County, Pennsylvania",""
"    Estimate","1,021"
"Census Tract 5261.01, Allegheny County, Pennsylvania",""
"    Estimate","2,883"
"Census Tract 5261.02, Allegheny County, Pennsylvania",""
"    Estimate","895"
"Census Tract 5262.01, Allegheny County, Pennsylvania",""
"    Estimate","1,491"
"Census Tract 5262.02, Allegheny County, Pennsylvania",""
"    Estimate","2,076"
"Census Tract 5263.01, Allegheny County, Pennsylvania",""
"    Estimate","1,691"
"Census Tract 5263.02, Allegheny County, Pennsylvania",""
"    Estimate","2,271"
"Census Tract 5509, Allegheny County, Pennsylvania",""
"    Estimate","1,120"
"Census Tract 5512, Allegheny County, Pennsylvania",""
"    Estimate","1,921"
"Census Tract 5513, Allegheny County, Pennsylvania",""
"    Estimate","1,244"
"Census Tract 5519, Allegheny County, Pennsylvania",""
"    Estimate","974"
"Census Tract 5520, Allegheny County, Pennsylvania",""
"    Estimate","1,308"
"Census Tract 5521, Allegheny County, Pennsylvania",""
"    Estimate","555"
"Census Tract 5522, Allegheny County, Pennsylvania",""
"    Estimate","628"
"Census Tract 5523, Allegheny County, Pennsylvania",""
"    Estimate","1,341"
